Quelles sont les différences entre psychologie-sociale et sociologie ?;Si la psychologie sociale étudie l’individu en tant qu’acteur, sujet de l’action, la sociologie se penche davantage sur la structure et le fonctionnement de grands groupes ou institutions.
Quelles sont les différences entre psychologie-sociale et psychologie générale ?;Psychologie générale et psychologie sociale s’intéressent toutes deux à l’individu. Cependant, la première a une approche plus individuelle et la seconde plus sociale. La psychologie générale accorde une attention spécifique au fonctionnement Interne de l’individu tandis que la psychologie sociale s’attache davantage à la façon dont les personnes s’influencent, se perçoivent et à leurs actions en fonction de l’environnement social.
Quelles sont les différences entre LOC et attribution causale ?;"Tout d'abord le LOC (Locus of Control) correspond à une anticipation générale, une attente a priori. Tandis qu'une Attribution est une explication, un jugement porté à postériori sur un événement bien précis. De plus, le concept de LOC concerne les renforcements (""la loi de l'effet"": reproduction du comportement si renforcements positifs) alors que celui d'attribution renvoi davantage aux comportements ou aux états émotionnels des gens."
Qu'est-ce que je pourrais faire quand ma compagne m'a quittée après 10 années de vie commune ?;Dix années de vie commune ne peuvent que marquer l'existence, quel que soit votre âge. Mais dans le couple chacun évolue, parfois ensemble et parfois à l'opposé. Votre amie semble avoir pris une direction de liberté. Le temps sera votre allié si elle doit revenir et souhaite revivre une histoire avec vous. Mais peut-être pas. Alors essayez vous aussi de vous ouvrir à autre chose (activités différentes) et à d'autres personnes. Et vous verrez les choses autrement. Cordialement.
Qu'est-ce que je pourrais faire quand ma compagne m'a quittée après 10 années de vie commune ?;votre épouse a été claire d'après ce que vous dites elle ne vous aime plus il ne reste plus pour vous qu'à accepter et faire le deuil et la laisser sans vivre en dehors de vous sans essayer de continuer à entretenir un lien morbide
Comment retrouver un intêret à la vie ?;Ne restez pas seule à vous morfondre. Comme cela vous a été conseillé, parlez de vos difficultés et souffrances à vos parents, et à votre professeur principal, si possible avant la fin de la semaine pour avoir, avant les vacances, une idée d'une recherche solution. Que souhaitez vous faire plus tard? Avez-vous une idée de métier ou d'études qui vous attire ? Est-ce que l'orientation scientifique vous convient ? Une aide pendant les vacances pourrait vous remettre à flot et vous remotiver ?
Comment retrouver un intêret à la vie ?;Trouver une activité sportive par exemple qui vous convienne. Découvrez des activités artistiques et/ou aller au cinéma, au théâtre, des spectacles, à des conférences. Cela vous permettra également de vous faire de nouveaux amis qui ne dépendront pas de votre environnement scolaire. Prenez soin de vous, soyez attentive à votre hygiène de vie, à votre alimentation, cela est essentiel pour faire face aux difficultés de la vie et aux situations de stress. Avec mes encouragements.
Mon rêve est prémonitoire ?;Votre rêve parle de votre désir. Maintenant que celui-ci est clair pour vous, soit vous le faites advenir dans la réalité ... soit vous continuez de rêver. Quant à prédire l'avenir, cela ne relève pas des compétences d'un psychologue.
Mon rêve est prémonitoire ?;Rien ne peut être prémonitoire, le rêve est une soupape de sécurité pour notre corps.
Pourquoi je n'arrive pas à oublier mon ex compagnon pervers narcissique ?;Pour commencer, je pense qu'une déposition en gendarmerie devrai être poser pour coup et blessures a fin de vous protéger mais aussi en protége d'autre. En second, je pense que cette relation a forcement du provoquer certaine peur crainte et autres physique et psychologique. Pour mon cas je vous conseille fortement de consulter un psychologue qui vous dira comment gérer ses peurs ses craintes qui sont encrée en vous . Vous pouvez également faire des séance d hypnose pour lâcher prise sur tout cela mais avent tout pensez a consulter a fin de gérer tout cela.
