社会心理学和社会学的区别是什么？;社会心理学研究的是作为行动者、行动主体的个人，而社会学则更多地关注大型群体或机构的结构和运作。
社会心理学和心理学的区别是什么？;一般心理学和社会心理学都是关注个体的。不过，前者更有个性，后者更有社会性。一般心理学特别关注个体的内部功能，而社会心理学则更多地关注人们如何影响和认知自己及其行为与社会环境的关系。
LOC和因果归属有什么区别？;首先LOC（Locus of Control）对应的是一种普遍的预期，是一种先验的预期。而Attribution则是一种解释，是事后对一个非常具体的事件做出的判断。此外，LOC概念涉及的是强化因素（"效果法则"：如果有积极的强化因素，行为就会再现），而归因概念更多的是指人们的行为或情绪状态。
同居10年，女友离我而去，我能怎么办？;十年的同居生活不能不说是你们存在的标志，无论你们的年龄有多大。但在夫妻关系中，大家都在进化，有时是一起进化，有时则相反。你的朋友似乎已经采取了自由的方向。如果她要回来，希望和你重温一段故事，时间会成为你的盟友。但也许不是。所以，要试着打开自己的心扉，接受其他事物（不同的活动）和其他人。你就会有不同的看法。
同居10年，女友离我而去，我能怎么办？;你的妻子已经从你说的话中明确表示她不再爱你了，你除了接受和哀悼，离开她，不在你之外生活，不试图继续病态的联系之外，没有什么可以做的了。
如何重拾对生活的兴趣？;不要只是坐着闷闷不乐。正如有人建议你做的那样，如果可能的话，在本周结束前向你的父母和你的主课老师诉说你的困难和痛苦，以便在假期前有一个解决的办法。你以后想做什么？你有吸引你的工作或学习的想法吗？科学的定位是否适合你？节日期间的帮助是否能够让你重新振作起来，重新激励你？
如何重拾对生活的兴趣呢？;比如找一个适合自己的体育活动。发现艺术活动和/或去电影院、剧院、演出、会议。它还可以让你结交新的朋友，他们不会依赖你的学校环境。照顾好自己，要注意自己的生活方式、饮食习惯，这是应对生活中的困难和压力的必要条件。在我的鼓励下。
我的梦是预兆？;你的梦想说出了你的愿望。现在你清楚了，要么你在现实中实现它......要么你继续做梦。至于预测未来，那不是心理学家的工作。
我的梦是预感？;没有什么可以预知的，梦想是我们身体的安全阀。
为什么我忘不了变态自恋的前男友？;首先，我认为，在宪兵队里应该以殴打他人为由做个笔录，这样既可以保护自己，也可以保护他人。其次，我想这种关系一定会造成一些恐惧和其他生理和心理上的恐惧。对于我的情况，我强烈建议你去咨询心理医生，他会告诉你如何管理你根深蒂固的恐惧和害怕。你也可以做催眠课程来放下这一切，但在做之前，你应该考虑咨询心理医生，以便管理这一切。
